rule,n_nonmanip,w,a,b,perfect_info,manipulation,cand1,cand2,cand3,cand4,cand5,winner,total_utils_in_outcome,total_utils_in_true,total_utils_manipulator,total_utils_in_true_manipulator
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.859494379433857,1.859494379433857,0.944,0.944
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.8166417831525816,1.8166417831525816,0.902,0.902
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.816816979788379,1.816816979788379,0.902,0.902
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8803839152406516,1.8803839152406516,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8865397052463333,1.8865397052463333,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8775171728765068,1.8775171728765068,0.944,0.944
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.8215211529376176,1.8215211529376176,0.902,0.902
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.8182820846387717,1.8182820846387717,0.902,0.902
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.8154603225132186,1.8154603225132186,0.902,0.902
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.8191850233845104,1.8191850233845104,0.902,0.902
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.820401751597227,1.820401751597227,0.902,0.902
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.8185327111113891,1.8185327111113891,0.902,0.902
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8731958994417632,1.8731958994417632,0.944,0.944
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.8197303094470636,1.8197303094470636,0.902,0.902
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.882092579362223,1.882092579362223,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8717518665074055,1.8717518665074055,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8865444448755726,1.8865444448755726,0.944,0.944
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.8167840010342808,1.8167840010342808,0.902,0.902
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8736186580121221,1.8736186580121221,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.880764435088244,1.880764435088244,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.869562526704169,1.869562526704169,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8749350726891203,1.8749350726891203,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8703023224596467,1.8703023224596467,0.944,0.944
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.817123828714439,1.817123828714439,0.902,0.902
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8618072228138889,1.8618072228138889,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8600328520093816,1.8600328520093816,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.886080831006971,1.886080831006971,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8915629129251617,1.8915629129251617,0.944,0.944
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.821625382842171,1.821625382842171,0.902,0.902
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8908606654049944,1.8908606654049944,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8826296521645594,1.8826296521645594,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8577779968580803,1.8577779968580803,0.944,0.944
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.8167942358205877,1.8167942358205877,0.902,0.902
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.8213796120376853,1.8213796120376853,0.902,0.902
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.819678348936729,1.819678348936729,0.902,0.902
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8647413383815046,1.8647413383815046,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8774944710484167,1.8774944710484167,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8896981367252559,1.8896981367252559,0.944,0.944
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.8166028386462543,1.8166028386462543,0.902,0.902
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.8179611980620254,1.8179611980620254,0.902,0.902
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.8196932835296598,1.8196932835296598,0.902,0.902
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8578534758606338,1.8578534758606338,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8811357935035473,1.8811357935035473,0.944,0.944
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.8192786488899868,1.8192786488899868,0.902,0.902
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8804521086953132,1.8804521086953132,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8711870013556688,1.8711870013556688,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8915554651801094,1.8915554651801094,0.944,0.944
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.8183386132876675,1.8183386132876675,0.902,0.902
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8711663949183448,1.8711663949183448,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.889686273551328,1.889686273551328,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8625838869738518,1.8625838869738518,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8725920077943599,1.8725920077943599,0.944,0.944
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.8204712404589634,1.8204712404589634,0.902,0.902
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.817204104303562,1.817204104303562,0.902,0.902
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8824984038164452,1.8824984038164452,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8697931218143058,1.8697931218143058,0.944,0.944
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.8801044172643029,1.8801044172643029,0.944,0.944
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.8169823723173946,1.8169823723173946,0.902,0.902
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.8149273854992432,1.8149273854992432,0.902,0.902
borda,1,0.1,1,1,True,True,Captain America,Divergent,Muppets,Noah,Grand Budapest,Grand Budapest,1.8170294026348097,1.8170294026348097,0.902,0.902
borda,1,0.1,1,1,True,False,Captain America,Grand Budapest,Divergent,Muppets,Noah,Captain America,1.865836177143706,1.865836177143706,0.944,0.944
